194,Dole,23312,sous-préfecture,39
195,Saint-Claude,10096,sous-préfecture,39
196,Dax,20485,sous-préfecture,40
197,Romorantin-Lanthenay,17459,sous-préfecture,41
198,Vendôme,16879,sous-préfecture,41
199,Montbrison,15689,sous-préfecture,42
200,Roanne,35200,sous-préfecture,42
201,Brioude,6700,sous-préfecture,43
202,Yssingeaux,7105,sous-préfecture,43
203,Châteaubriant,11895,sous-préfecture,44
204,Saint-Nazaire,69350,sous-préfecture,44
205,Montargis,13997,sous-préfecture,45
206,Pithiviers,9054,sous-préfecture,45
207,Figeac,9820,sous-préfecture,46
208,Gourdon,4297,sous-préfecture,46
209,Marmande,17748,sous-préfecture,47
210,Nérac,7085,sous-préfecture,47
211,Villeneuve-sur-Lot,23263,sous-préfecture,47
212,Florac-Trois-Rivières,2107,sous-préfecture,48
213,Cholet,53853,sous-préfecture,49
214,Saumur,27301,sous-préfecture,49
215,Segré-en-Anjou Bleu,17580,sous-préfecture,49
216,Avranches,7813,sous-préfecture,50
217,Cherbourg-en-Cotentin,80959,sous-préfecture,50
218,Coutances,8789,sous-préfecture,50
219,Épernay,23176,sous-préfecture,51
220,Reims,183042,sous-préfecture,51
221,Vitry-le-François,13144,sous-préfecture,51
222,Langres,7850,sous-préfecture,52
223,Saint-Dizier,25505,sous-préfecture,52
224,Château-Gontier,11528,sous-préfecture,53
225,Mayenne,13139,sous-préfecture,53
226,Lunéville,19325,sous-préfecture,54
227,Toul,15966,sous-préfecture,54
228,Val de Briey,8210,sous-préfecture,54
229,Commercy,5914,sous-préfecture,55
230,Verdun,18393,sous-préfecture,55
231,Lorient,57662,sous-préfecture,56
232,Pontivy,13965,sous-préfecture,56
233,Forbach,21740,sous-préfecture,57
234,Sarrebourg,12363,sous-préfecture,57
235,Sarreguemines,21457,sous-préfecture,57
236,Thionville,41083,sous-préfecture,57
237,Château-Chinon (Ville),2084,sous-préfecture,58
238,Clamecy,3889,sous-préfecture,58
239,Cosne-Cours-sur-Loire,10553,sous-préfecture,58
240,Avesnes-sur-Helpe,4662,sous-préfecture,59
241,Cambrai,32897,sous-préfecture,59
242,Douai,40736,sous-préfecture,59
243,Dunkerque,89160,sous-préfecture,59
244,Valenciennes,43787,sous-préfecture,59
245,Clermont,10502,sous-préfecture,60
246,Compiègne,40732,sous-préfecture,60
247,Senlis,15292,sous-préfecture,60
248,Argentan,13968,sous-préfecture,61
249,Mortagne-au-Perche,3994,sous-préfecture,61
250,Béthune,25413,sous-préfecture,62
251,Boulogne-sur-Mer,42476,sous-préfecture,62
252,Calais,76402,sous-préfecture,62
253,Lens,31398,sous-préfecture,62
254,Montreuil,2132,sous-préfecture,62
255,Saint-Omer,14164,sous-préfecture,62
256,Ambert,6794,sous-préfecture,63
257,Issoire,14578,sous-préfecture,63
258,Riom,18749,sous-préfecture,63
259,Thiers,11588,sous-préfecture,63
260,Bayonne,48178,sous-préfecture,64
261,Oloron-Sainte-Marie,10824,sous-préfecture,64
262,Argelès-Gazost,3020,sous-préfecture,65
263,Bagnères-de-Bigorre,7602,sous-préfecture,65
264,Céret,7663,sous-préfecture,66
265,Prades,5927,sous-préfecture,66
266,Haguenau,34761,sous-préfecture,67
267,Molsheim,9263,sous-préfecture,67
268,Saverne,11433,sous-préfecture,67
269,Sélestat,19546,sous-préfecture,67
270,Altkirch,5738,sous-préfecture,68
271,Mulhouse,111167,sous-préfecture,68
272,Thann,7915,sous-préfecture,68
273,Villefranche-sur-Saône,36559,sous-préfecture,69
274,Lure,8324,sous-préfecture,70
275,Autun,13955,sous-préfecture,71
276,Chalon-sur-Saône,44985,sous-préfecture,71
277,Charolles,2757,sous-préfecture,71
278,Louhans,6349,sous-préfecture,71
279,La Flèche,15025,sous-préfecture,72
280,Mamers,5333,sous-préfecture,72
281,Albertville,18950,sous-préfecture,73
282,Saint-Jean-de-Maurienne,7889,sous-préfecture,73
283,Bonneville,12575,sous-préfecture,74
284,Saint-Julien-en-Genevois,13253,sous-préfecture,74
285,Thonon-les-Bains,34973,sous-préfecture,74
286,Dieppe,30086,sous-préfecture,76
287,Le Havre,172807,sous-préfecture,76
288,Fontainebleau,14637,sous-préfecture,77
289,Meaux,53526,sous-préfecture,77
290,Provins,11736,sous-préfecture,77
291,Torcy,23609,sous-préfecture,77
292,Mantes-la-Jolie,44985,sous-préfecture,78
293,Rambouillet,25755,sous-préfecture,78
294,Saint-Germain-en-Laye,39540,sous-préfecture,78
295,Bressuire,19300,sous-préfecture,79
296,Parthenay,10367,sous-préfecture,79
297,Abbeville,23559,sous-préfecture,80
298,Montdidier,6195,sous-préfecture,80
299,Péronne,7676,sous-préfecture,80
300,Castres,41382,sous-préfecture,81
301,Castelsarrasin,13765,sous-préfecture,82
302,Brignoles,16690,sous-préfecture,83
303,Draguignan,40054,sous-préfecture,83
304,Apt,11885,sous-préfecture,84
305,Carpentras,28447,sous-préfecture,84
306,Fontenay-le-Comte,13609,sous-préfecture,85
307,Les Sables-d’Olonne,14376,sous-préfecture,85
308,Châtellerault,31722,sous-préfecture,86
